Track Name,Overall,Embed,Genre,Mood,Tempo
Bad Bad News,Indie/Alt,Eurodance,Steel Horse,Honky Tonk,Electroswing
,Eurodance,Indie/Alt,I love driving,Steel Horse,Soft Rock
,I love driving,I love driving,I've Got To Drive Fast,Indie/Alt,Honky Tonk
,I've Got To Drive Fast,Electroswing,Escape the Machine,I've Got To Drive Fast,I've Got To Drive Fast
,Steel Horse,Relaxed Pop,You Are Part of the Machine,Soft Rock,Escape the Machine

Beyond The Pale,Indie/Alt,Indie/Alt,Steel Horse,I've Got To Drive Fast,And the void looked back
,Relaxed Pop,I love driving,I love driving,Steel Horse,Genuinely sad
,I've Got To Drive Fast,Eurodance,I've Got To Drive Fast,Relaxed Pop,You Are Part of the Machine
,Escape the Machine,Escape the Machine,Escape the Machine,Honky Tonk,Jazzy/Slow
,Steel Horse,Electroswing,You Are Part of the Machine,Indie/Alt,Relaxed Pop

